SUPAH-SHAKES,INGREDIENTS,NUTRITIONAL FACTS,PRICE
Oreo Explosion ,"Cookies and cream, Vanilla Protein, Unflavored Fiber, Sugar Free Chocolate Syrup, Crumbled Oreos","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Fruity Pebbles ,"Wild Berry, Orange Cream,Vanilla Protein, Unflavored Fiber,Strawberry Sugar Free Syrup, Fruity Pebbles Cereal","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Churro **,"Dulce de leche, Vanilla Protein, Unflavored Fiber, Chai Tea, Caramel Sugar Free Syrup, Cinnamon Toast Crunch Cereal","aprox 270 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals; ** 85mg caffeine",12.48
Caramel Pie,"Dulce de Leche, Vanilla Protein, Apple Fiber, Caramel Sugar Free Syrup, Cinnamon ","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Banana Split,"Wild Berry, Banana Caramel, Vanilla Protein, Unflavored fiber, Chocolate Sugar Free Syrup, Granola (contains almonds)","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Cookie Dough ,"Dulce de Leche, Cookies and cream, Vanilla protein, Unflavored fiber, Caramel Sugar Free Syrup, Twix Powder","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Strawberry Cheesecake,"Strawberry Cheesecake, Vanilla Protein, Unflavored Fiber, Strawberry Sugar Free Syrup, Graham Crackers Crumbs","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Caramel Frappe **,"Dulce de Leche, Cafe Latte, Vanilla Protein, Unflavored Fiber, Caramel Sugar Free Syrup, Hint of Caramel Macchiato Iced Protein Coffee ","aprox 290 calories, 7g fat, 26g carbs, 10g fiber, 35g protein. 21 vitamins & minerals; ** 80mg caffeine",12.48
Minty Goodness,"Mint Chocolate, Vanilla Protein, Unflavored Fiber, Chocolate Sugar Free Syrup, Crumbled Oreos","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Toasted Pralines Latte **,"Pralines & Cream, Cafe Latte, Vanilla Protein, Unflavored Fiber, Caramel Sugar Free Syrup, Hint House Blend Iced Protein Coffee","aprox 290 calories, 7g fat, 26g carbs, 10g fiber, 35g protein. 21 vitamins & minerals; ** 80mg caffeine",12.48
Captain Crunch,"Pina Colada, Pralines & Cream, Vanilla Protein, Unflavored Fiber, Caramel Sugar Free Syrup, Captain Crunch Cereal","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Mocha **,"Cafe Latte, Chocolate Protein, Unflavored Fiber, Chocolate Sugar Free Syrup, Hint Mocha Iced Protein Coffee","aprox 290 calories, 7g fat, 26g carbs, 10g fiber, 35g protein. 21 vitamins & minerals; ** 80mg caffeine",12.48
Mango Pina,"Pina Colada, Mango Pineapple, Vanilla Protein, Tropical Fiber, Honey, Hint Peach Mango Protein Juice","aprox 285 calories, 6g fat, 25g carbs, 10g fiber, 35g protein. 21 vitamins & minerals",12.48
Banana Nut,"Banana Caramel, Peanut Cookie Protein, Unflavored Fiber, Caramel Sugar Free Syrup, Sliced Almonds","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Key West,"Strawberry Cheesecake, Mango Pineapple, Vanilla Protein, Tropical Fiber, Strawberry Sugar Free Syrup, Fruity Pebbles Cereal","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Pumpkin Banana,"Banana Caramel, Pumpkin Spice, Peanut Cookie Protein, Unflavored Fiber, Caramel Sugar Free Syrup, Granola (contains almonds)","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Thin Mint,"Mint Chocolate, Dutch Chocolate, Chocolate Protein, Unflavored Fiber, Chocolate Sugar Free Syrup, Crumbled Oreos","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Brownie,"Dutch Chocolate, Chocolate Protein, Unflavored Fiber, Chocolate Sugar Free Syrup, Chocolate chips","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Vanilla Bean,"French Vanilla, Cookies and Cream, Vanilla Protein, Unflavored Fiber, Cinnamon, Whipped Cream (contains dairy)","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
Rainbow,"Pina Colada, Orange Cream, Vanilla Protein, Unflavored Fiber, Strawberry Sugar Free Syrup, Fruity Pebbles Cereal","aprox 265 calories, 6g fat, 24g carbs, 10g fiber, 32g protein. 21 vitamins & minerals",12.48
